"Country","HDI","Category","Age","Gender","Kids","Education","WorkStatus","AnnualIncome","Occupation","Years","Months","Community","Status","NumSon","NumDaught","DP1","DP2","DP3","DP4","DP5","AIP1","AIP2","AIP3","AIP4","AIP5","AIP6","AIP7","AIP8","AIP9","AIP10","AIP11","AIP12","AIP13","AIP14","AIP15","GP1","GP2","GP3","GP4","GP5","GP6","GP7","GP8","GP9","GP10","GP11","GP12","GP13","GP14","GP15","GP16","GP17","GP18","GP19","GP20","SWLS1","SWLS2","SWLS3","SWLS4","SWLS5","Q1Self","Q2Others","DPMean","AIPMean","GPMean","SWLSMean"
"Afghanistan",0.479,"Low",55,"Male","No Kids","deg","full-time",87500,NA,0,6,"Large Town","Married",0,0,3,3,3,4,3,3,2,2,2,3,2,3,3,2,3,4,2,4,2,3,4,2,4,3,3,3,3,4,4,2,2,3,2,4,3,4,3,3,4,4,3,2,2,3,2,"yes","no",3.2,2.667,3.2,2.4
"Afghanistan",0.479,"Low",55,"Female","Yes Kids","deg","full-time",10000,NA,7,0,"Village","Divorced",4,0,4,3,4,3,2,1,2,1,4,3,5,4,4,3,3,3,4,3,3,3,3,2,2,5,3,3,3,5,3,1,2,3,1,1,3,3,3,4,3,3,1,1,1,3,1,"no","yes",3.2,3.067,2.8,1.4
"Afghanistan",0.479,"Low",55,"Male","Yes Kids","ma","full-time",150000,NA,0,0,"Large Town","Married",4,2,4,4,4,3,3,3,4,5,4,3,4,3,5,4,3,5,5,1,5,4,4,4,5,3,1,3,4,4,4,4,4,4,3,4,4,4,4,4,3,4,3,3,2,2,2,"yes","yes",3.6,3.867,3.7,2.4
"Albania",0.764,"High",45,"Female","No Kids","ltuni","full-time",150000,NA,0,0,"Large Town","Single",0,0,3,3,5,3,3,3,1,2,1,2,2,2,2,1,2,3,2,2,1,5,5,3,2,2,5,4,5,5,5,1,3,4,5,5,5,4,3,4,4,4,3,3,3,4,2,"yes","no",3.4,2.067,3.9,3
"Albania",0.764,"High",68,"Male","Yes Kids","deg","part-time",87500,"Media Consultant",4,0,"Large-City","Divorced",0,2,4,3,2,2,1,4,1,5,1,2,1,1,3,2,3,3,1,3,1,5,4,1,2,2,3,2,2,2,4,1,2,4,4,4,4,4,4,3,4,4,3,4,3,5,4,"yes","no",2.4,2.4,3,3.8
"Algeria",0.745,"High",55,"Female","Yes Kids","dip","full-time",55000,"Assoc. Governmental Program Analyst",28,0,"Large-City","Married",0,4,3,2,1,1,1,2,1,1,3,3,5,1,2,3,3,1,1,1,2,3,3,1,1,3,4,1,2,2,3,1,3,3,2,2,3,3,2,3,3,2,3,3,4,4,5,"yes","no",1.6,2.133,2.35,3.8
"Algeria",0.745,"High",45,"Male","Yes Kids","ma","full-time",35000,NA,10,0,"Village","Married",2,0,4,4,5,4,4,4,1,4,1,3,3,4,2,3,3,3,1,5,3,3,3,2,4,3,3,4,4,2,4,3,2,4,4,2,4,4,4,4,4,4,3,3,4,4,4,"yes","yes",4.2,2.867,3.4,3.6
"Algeria",0.745,"High",38,"Female","No Kids","deg","full-time",67500,NA,9,6,"Village","Married",0,0,4,4,5,5,4,1,2,5,4,2,3,3,3,1,3,5,3,2,3,3,4,2,4,3,4,5,2,5,3,1,5,3,1,3,4,5,4,3,2,5,5,5,5,3,3,"yes","no",4.4,2.867,3.4,4.2
"Andorra",0.858,"VeryHigh",55,"Male","Yes Kids","ma","full-time",250000,"Finance",23,0,"Large-City","Married",0,5,2,2,2,2,2,1,2,3,2,2,2,2,3,2,2,4,4,3,2,2,3,2,2,2,2,2,3,3,3,2,2,3,2,2,2,3,4,3,2,4,3,4,4,4,3,"no","no",2,2.4,2.55,3.6
"Antigua",0.786,"High",32,"Male","Yes Kids","dip","full-time",25000,NA,6,0,"Rural/Country","Divorced",2,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,4,4,2,4,2,4,2,2,3,3,4,4,4,2,2,4,2,4,2,2,2,2,2,"yes","yes",3,3,3,2
"Argentina",0.827,"VeryHigh",68,"Male","Yes Kids","","part-time",150000,"BUSINESS CONSULTA",12,0,"Small Town","Married",3,0,3,3,3,3,3,1,2,4,4,3,2,3,3,3,3,1,3,2,3,3,3,3,3,1,2,1,2,2,3,4,2,3,2,4,3,5,3,2,2,2,3,3,4,4,3,NA,"no",3,2.667,2.6,3.4
"Argentina",0.827,"VeryHigh",32,"Female","No Kids","deg","full-time",67500,"manager",3,0,"Large-City","Single",0,0,2,1,2,2,2,1,1,1,1,5,4,1,2,2,2,3,1,2,1,1,3,2,1,4,3,2,2,2,3,5,4,1,1,1,2,2,2,2,3,2,3,4,3,4,4,"yes","no",1.8,1.867,2.35,3.6
"Argentina",0.827,"VeryHigh",45,"Male","Yes Kids","deg","full-time",55000,NA,7,0,"Village","Married",1,2,4,4,4,3,2,1,1,3,4,3,5,5,3,4,3,2,3,3,3,2,4,3,1,3,2,2,2,3,4,2,2,4,3,3,4,3,2,4,4,4,4,4,3,4,3,"yes","yes",3.4,3,2.95,3.6
"Australia",0.939,"VeryHigh",32,"Male","No Kids","ltuni","full-time",45000,"Service co-ordinator",0,7,"Large-City","Single",0,0,4,4,4,3,3,4,5,3,5,3,4,5,4,3,4,4,5,4,4,4,5,4,4,5,4,5,4,4,4,3,4,4,4,4,3,4,4,4,4,5,1,1,2,1,3,"yes","yes",3.6,4.067,4.1,1.6
"Australia",0.939,"VeryHigh",28,"Male","No Kids","deg","student",15000,NA,0,3,"Small Town","Married",0,0,3,3,3,2,2,2,3,4,3,4,5,5,4,3,3,3,3,3,3,3,3,1,2,5,3,3,3,3,4,3,3,3,3,3,4,2,2,3,3,4,3,4,4,3,3,"yes","yes",2.6,3.4,3,3.4
"Australia",0.939,"VeryHigh",38,"Male","No Kids","high","full-time",150000,NA,6,3,"Village","Single",0,0,2,3,2,2,2,1,1,2,2,3,2,1,1,2,2,2,1,3,1,2,2,2,2,2,2,2,2,3,2,1,1,2,1,1,1,3,2,2,2,2,2,3,3,3,1,"no","no",2.2,1.733,1.85,2.4
"Australia",0.939,"VeryHigh",55,"Male","No Kids","lthigh","unemployed",15000,NA,6,6,"Rural/Country","Divorced",0,0,3,3,2,3,3,1,1,1,2,3,2,2,3,3,3,1,1,2,1,3,4,2,2,3,2,2,4,3,4,1,2,4,1,1,3,2,3,4,3,4,2,1,1,1,1,"no",NA,2.8,1.933,2.7,1.2
"Australia",0.939,"VeryHigh",45,"Male","Yes Kids","deg","full-time",55000,"Technical officer",1,9,"Large-City","Married",2,0,3,3,3,1,1,1,1,2,3,2,1,1,3,1,2,1,3,2,2,2,2,2,4,1,1,1,1,2,4,1,3,2,1,3,3,3,3,3,1,2,3,4,4,4,3,"yes","no",2.2,1.8,2.15,3.6
"Australia",0.939,"VeryHigh",28,"Male","No Kids","ltuni","part-time",15000,NA,0,6,"Village","Single",0,0,5,5,5,5,5,5,3,3,4,5,5,4,5,5,5,5,5,5,4,5,5,2,5,5,5,5,5,5,3,2,1,5,4,5,5,5,5,5,5,5,1,1,1,3,1,"yes","yes",5,4.533,4.35,1.4
